,Borough,Survey wave (year),Start hour,Start minute,Number of male cycles,Number of female cycles,Number of unknown cycles,Total cycles
0,Barking & Dagenham,2015,20736,34560,1177,139,34,1350
1,Barking & Dagenham,2016,20736,34560,1073,196,10,1279
2,Barking & Dagenham,2017,20736,34560,1025,135,26,1186
3,Barking & Dagenham,2018,20736,34560,1220,143,5,1368
4,Barking & Dagenham,2019,20736,34560,939,142,30,1111
5,Barking & Dagenham,2020,17280,28800,1066,139,4,1209
6,Barking & Dagenham,2021,20736,34560,1269,168,0,1437
7,Barnet,2015,34560,57600,2126,262,18,2406
8,Barnet,2016,34560,57600,2310,298,29,2637
9,Barnet,2017,34560,57600,2255,351,27,2633
10,Barnet,2018,34560,57600,2270,275,1,2546
11,Barnet,2019,34560,57600,2369,336,68,2773
12,Barnet,2020,15552,25920,1049,62,0,1111
13,Barnet,2021,34560,57600,2930,854,3,3787
14,Bexley,2015,34560,57600,987,88,32,1107
15,Bexley,2016,34560,57600,993,55,19,1067
16,Bexley,2017,34560,57600,1032,100,36,1168
17,Bexley,2018,34560,57600,1002,88,4,1094
18,Bexley,2019,34560,57600,954,92,10,1056
19,Bexley,2020,17280,28800,864,74,31,969
20,Bexley,2021,34560,57600,979,59,0,1038
21,Brent,2015,31104,51840,3183,484,38,3705
22,Brent,2016,31104,51840,3169,467,13,3649
23,Brent,2017,31104,51840,3577,517,13,4107
24,Brent,2018,31104,51840,3633,381,3,4017
25,Brent,2019,31104,51840,3112,393,48,3553
26,Brent,2020,15552,25920,2988,346,7,3341
27,Brent,2021,31104,51840,3929,860,16,4805
28,Bromley,2015,51840,86400,2347,267,40,2654
29,Bromley,2016,51840,86400,2136,153,16,2305
30,Bromley,2017,51840,86400,2566,289,15,2870
31,Bromley,2018,51840,86400,2492,271,28,2791
32,Bromley,2019,51840,86400,2402,213,35,2650
33,Bromley,2020,15552,25920,1416,128,106,1650
34,Bromley,2021,51840,86400,3087,351,1,3439
35,Croydon,2015,41472,69120,2319,187,35,2541
36,Croydon,2016,41472,69120,2498,159,16,2673
37,Croydon,2017,41472,69120,2613,251,10,2874
38,Croydon,2018,41472,69120,2613,202,9,2824
39,Croydon,2019,41472,69120,2508,202,8,2718
40,Croydon,2020,17280,28800,1922,163,69,2154
41,Croydon,2021,41472,69120,2701,282,19,3002
42,Ealing,2015,51840,86400,5767,1264,125,7156
43,Ealing,2016,51840,86400,5444,1256,61,6761
44,Ealing,2017,51840,86400,5306,1256,48,6610
45,Ealing,2018,51840,86400,6257,1328,37,7622
46,Ealing,2019,51840,86400,5757,1637,61,7455
47,Ealing,2020,34560,57600,6123,950,211,7284
48,Ealing,2021,51840,86400,6401,2028,33,8462
49,Enfield,2015,34560,57600,1496,347,0,1843
50,Enfield,2016,34560,57600,1339,247,2,1588
51,Enfield,2017,34560,57600,1686,278,7,1971
52,Enfield,2018,34560,57600,1568,252,9,1829
53,Enfield,2019,34560,57600,1342,212,7,1561
54,Enfield,2020,17280,28800,984,149,3,1136
55,Enfield,2021,32832,54720,1296,339,1,1636
56,Greenwich,2015,39744,66240,2430,247,54,2731
57,Greenwich,2016,39744,66240,2482,288,46,2816
58,Greenwich,2017,39744,66240,2762,528,86,3376
59,Greenwich,2018,39744,66240,2840,412,25,3277
60,Greenwich,2019,39744,66240,2698,363,11,3072
61,Greenwich,2020,15552,25920,1212,128,46,1386
62,Greenwich,2021,39744,66240,3316,542,30,3888
63,Haringey,2015,22464,37440,3533,354,41,3928
64,Haringey,2016,22464,37440,3484,377,23,3884
65,Haringey,2017,22464,37440,3222,672,23,3917
66,Haringey,2018,22464,37440,3506,496,22,4024
67,Haringey,2019,22464,37440,3283,417,43,3743
68,Haringey,2020,12096,20160,3338,269,11,3618
69,Haringey,2021,22464,37440,4693,930,1,5624
70,Harrow,2015,31104,51840,756,190,6,952
71,Harrow,2016,31104,51840,641,143,1,785
72,Harrow,2017,31104,51840,668,153,16,837
73,Harrow,2018,31104,51840,942,129,9,1080
74,Harrow,2019,29376,48960,661,125,11,797
75,Harrow,2020,17280,28800,1056,111,21,1188
76,Harrow,2021,31104,51840,651,209,15,875
77,Havering,2015,31104,51840,1418,136,22,1576
78,Havering,2016,31104,51840,1408,94,8,1510
79,Havering,2017,31104,51840,1667,158,15,1840
80,Havering,2018,31104,51840,1500,135,5,1640
81,Havering,2019,31104,51840,1189,147,8,1344
82,Havering,2020,15552,25920,970,87,6,1063
83,Havering,2021,31104,51840,1168,162,15,1345
84,Hillingdon,2015,60480,100800,3439,432,69,3940
85,Hillingdon,2016,60480,100800,3224,447,19,3690
86,Hillingdon,2017,60480,100800,3234,531,13,3778
87,Hillingdon,2018,60480,100800,3805,469,105,4379
88,Hillingdon,2019,60480,100800,3012,444,33,3489
89,Hillingdon,2020,17280,28800,2060,191,127,2378
90,Hillingdon,2021,60480,100800,3448,616,25,4089
91,Hounslow,2015,32832,54720,5823,937,76,6836
92,Hounslow,2016,32832,54720,5502,608,33,6143
93,Hounslow,2017,32832,54720,6073,1282,15,7370
94,Hounslow,2018,32832,54720,5985,1157,41,7183
95,Hounslow,2019,32832,54720,5210,1165,58,6433
96,Hounslow,2020,17280,28800,5759,1123,29,6911
97,Hounslow,2021,32832,54720,5796,1353,2,7151
98,Kingston upon Thames,2015,25920,43200,4359,803,123,5285
99,Kingston upon Thames,2016,25920,43200,4594,779,30,5403
100,Kingston upon Thames,2017,25920,43200,5198,1145,9,6352
101,Kingston upon Thames,2018,25920,43200,5560,1164,22,6746
102,Kingston upon Thames,2019,25920,43200,4730,1060,92,5882
103,Kingston upon Thames,2020,19008,31680,4397,683,117,5197
104,Kingston upon Thames,2021,25920,43200,5082,809,31,5922
105,Lambeth,2015,3456,5760,149,27,0,176
106,Lambeth,2016,3456,5760,178,41,0,219
107,Lambeth,2017,3456,5760,182,53,0,235
108,Lambeth,2018,3456,5760,174,45,1,220
109,Lambeth,2019,3456,5760,152,33,0,185
110,Lambeth,2021,3456,5760,237,26,0,263
111,Lewisham,2015,25920,43200,3760,677,101,4538
112,Lewisham,2016,25920,43200,3673,584,86,4343
113,Lewisham,2017,25920,43200,3922,668,73,4663
114,Lewisham,2018,25920,43200,4442,618,7,5067
115,Lewisham,2019,25920,43200,4204,572,20,4796
116,Lewisham,2020,13824,23040,3434,694,197,4325
117,Lewisham,2021,25920,43200,4420,622,11,5053
118,Merton,2015,31104,51840,4185,950,42,5177
119,Merton,2016,31104,51840,3975,981,10,4966
120,Merton,2017,31104,51840,3813,864,24,4701
121,Merton,2018,31104,51840,5101,735,37,5873
122,Merton,2019,31104,51840,3723,495,76,4294
123,Merton,2020,20736,34560,4343,797,127,5267
124,Merton,2021,31104,51840,4890,680,34,5604
125,Newham,2015,36288,60480,4325,811,52,5188
126,Newham,2016,36288,60480,4448,728,23,5199
127,Newham,2017,36288,60480,5158,994,21,6173
128,Newham,2018,36288,60480,5604,1017,22,6643
129,Newham,2019,36288,60480,5121,956,67,6144
130,Newham,2020,25920,43200,5505,671,58,6234
131,Newham,2021,34560,57600,7211,1056,6,8273
132,Redbridge,2015,31104,51840,1601,169,63,1833
133,Redbridge,2016,31104,51840,1441,127,2,1570
134,Redbridge,2017,31104,51840,1562,207,10,1779
135,Redbridge,2018,31104,51840,1667,210,31,1908
136,Redbridge,2019,31104,51840,1225,193,8,1426
137,Redbridge,2020,16876,28290,1605,185,10,1800
138,Redbridge,2021,31104,51840,2532,342,2,2876
139,Richmond upon Thames,2015,39744,66240,8809,1926,169,10904
140,Richmond upon Thames,2016,39744,66240,8916,2327,42,11285
141,Richmond upon Thames,2017,39744,66240,8478,2818,55,11351
142,Richmond upon Thames,2018,39744,66240,9042,2936,127,12105
143,Richmond upon Thames,2019,39744,66240,8158,2510,62,10730
144,Richmond upon Thames,2020,27648,46080,8919,1584,14,10517
145,Richmond upon Thames,2021,39744,66240,9303,2549,21,11873
146,Sutton,2015,34560,57600,2047,390,9,2446
147,Sutton,2016,34560,57600,2172,367,3,2542
148,Sutton,2017,34560,57600,2267,410,9,2686
149,Sutton,2018,34560,57600,2566,322,8,2896
150,Sutton,2019,34560,57600,2065,291,61,2417
151,Sutton,2020,17280,28800,1564,128,100,1792
152,Sutton,2021,34560,57600,2597,359,14,2970
153,Waltham Forest,2015,31104,51840,3325,579,8,3912
154,Waltham Forest,2016,31104,51840,3203,709,8,3920
155,Waltham Forest,2017,31104,51840,3322,713,5,4040
156,Waltham Forest,2018,31104,51840,3832,912,11,4755
157,Waltham Forest,2019,31104,51840,3468,949,4,4421
158,Waltham Forest,2020,13824,23040,3388,987,19,4394
159,Waltham Forest,2021,31104,51840,4199,1360,3,5562
160,Wandsworth,2015,1728,2880,33,11,0,44
161,Wandsworth,2016,1728,2880,42,18,1,61
162,Wandsworth,2017,1728,2880,60,11,0,71
163,Wandsworth,2018,1728,2880,72,7,0,79
164,Wandsworth,2019,1728,2880,46,21,0,67
165,Wandsworth,2021,1728,2880,79,14,0,93
