FEATURE_ID,SVDATE,RST_STEPS,RST_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG108213,2017-11-15,0,1,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG108213_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108213_2.jpg,"c(-0.2195757673, 51.5090865241)"
RWG108212,2017-11-15,1,0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG108212_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108212_2.jpg,"c(-0.2195666438, 51.5090420089)"
RWG030896,2017-08-21,1,0,Camden,https://cycleassetimages.data.tfl.gov.uk/RWG030896_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG030896_2.jpg,"c(-0.122481023, 51.5356204612)"
RWG025669,2017-07-09,1,0,Camden,https://cycleassetimages.data.tfl.gov.uk/RWG025669_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG025669_2.jpg,"c(-0.1357266225, 51.5404464278)"
RWG025670,2017-07-09,1,0,Camden,https://cycleassetimages.data.tfl.gov.uk/RWG025670_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG025670_2.jpg,"c(-0.1303857036, 51.5375696423)"
RWG025668,2017-07-09,1,0,Islington,https://cycleassetimages.data.tfl.gov.uk/RWG025668_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG025668_2.jpg,"c(-0.0941712511, 51.5340154364)"
RWG030897,2017-08-21,1,0,Islington,https://cycleassetimages.data.tfl.gov.uk/RWG030897_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG030897_2.jpg,"c(-0.1150597957, 51.5349651936)"
RWG030898,2017-08-21,1,0,Islington,https://cycleassetimages.data.tfl.gov.uk/RWG030898_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG030898_2.jpg,"c(-0.1167067265, 51.5350782739)"
RWG025666,2017-07-09,1,0,Islington,https://cycleassetimages.data.tfl.gov.uk/RWG025666_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG025666_2.jpg,"c(-0.0970998751, 51.5329946177)"
RWG152353,2017-12-19,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG152353_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG152353_2.jpg,"c(-0.0546636155, 51.5091968199)"
RWG153234,2018-01-15,1,0,Westminster,https://cycleassetimages.data.tfl.gov.uk/RWG153234_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG153234_2.jpg,"c(-0.1247273738, 51.494940595)"
RWG108729,2017-09-10,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG108729_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108729_2.jpg,"c(-0.0279622768, 51.5058580372)"
RWG108730,2017-07-03,0,1,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG108730_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108730_2.jpg,"c(-0.0279571788, 51.5057637086)"
RWG153697,2018-01-12,1,0,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG153697_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG153697_2.jpg,"c(-0.1198829441, 51.5006659834)"
RWG135663,2017-11-29,1,0,Westminster,https://cycleassetimages.data.tfl.gov.uk/RWG135663_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG135663_2.jpg,"c(-0.1741471572, 51.5117368837)"
RWG135664,2017-11-29,1,0,Westminster,https://cycleassetimages.data.tfl.gov.uk/RWG135664_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG135664_2.jpg,"c(-0.1585040598, 51.5118253596)"
RWG083059,2017-08-11,1,0,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG083059_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG083059_2.jpg,"c(-0.2335830681, 51.4447593889)"
RWG083060,2017-08-11,1,0,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG083060_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG083060_2.jpg,"c(-0.2279337256, 51.4465076722)"
RWG083058,2017-08-11,1,0,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG083058_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG083058_2.jpg,"c(-0.2334787723, 51.4443107335)"
RWG135991,2017-12-04,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0691730084, 51.4875396221)"
RWG135992,2017-12-04,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0690446597, 51.487427952)"
RWG097873,2017-10-19,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG097873_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG097873_2.jpg,"c(-0.0229678544, 51.5414521522)"
RWG097872,2017-10-19,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG097872_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG097872_2.jpg,"c(-0.0226192193, 51.5412626674)"
RWG151745,2017-12-18,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG151745_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151745_2.jpg,"c(-0.0165784537, 51.5419800686)"
RWG151746,2017-12-18,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG151746_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151746_2.jpg,"c(-0.0166841983, 51.5415057655)"
RWG151747,2017-12-18,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG151747_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151747_2.jpg,"c(-0.0181901996, 51.5405713293)"
RWG073870,2017-07-25,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG073870_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073870_2.jpg,"c(-0.0452509278, 51.5010597767)"
RWG135989,2017-12-04,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0701452955, 51.4876578603)"
RWG135990,2017-12-04,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0699044223, 51.4876412595)"
RWG151748,2017-12-18,1,0,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG151748_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151748_2.jpg,"c(-0.0173920971, 51.5430569193)"
RWG010475,2017-06-13,1,0,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG010475_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG010475_2.jpg,"c(-0.0589464539, 51.5731424382)"
RWG097874,2017-10-22,1,0,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG097874_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG097874_2.jpg,"c(-0.0386754239, 51.5582247938)"
RWG151749,2017-12-18,1,0,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG151749_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151749_2.jpg,"c(-0.0168342527, 51.5440462407)"
RWG151744,2017-08-28,0,1,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG151744_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151744_2.jpg,"c(-0.0226294736, 51.5445444536)"
RWG999727,2018-05-10,0,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG999727_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG999727_2.jpg,"c(-0.0336515406, 51.4983468403)"
RWG103241,2017-08-23,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG103241_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG103241_2.jpg,"c(-0.04960012, 51.450029596)"
RWG103242,2017-08-23,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG103242_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG103242_2.jpg,"c(-0.0509940036, 51.4501072397)"
RWG103243,2017-08-23,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG103243_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG103243_2.jpg,"c(-0.0534926925, 51.4518699757)"
RWG110603,2017-08-10,1,0,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG110603_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG110603_2.jpg,"c(-0.186538314, 51.4638292148)"
RWG103239,2017-08-23,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG103239_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG103239_2.jpg,"c(-0.0496853884, 51.4505218374)"
RWG103240,2017-08-23,1,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG103240_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG103240_2.jpg,"c(-0.0520501856, 51.4505333064)"
RWG999728,2018-05-10,0,0,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG999728_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG999728_2.jpg,"c(-0.0328204422, 51.4983148032)"
RWG103244,2017-11-02,1,0,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG103244_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG103244_2.jpg,"c(-0.0917311523, 51.4647093777)"
RWG098555,2017-08-14,1,0,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG098555_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG098555_2.jpg,"c(-0.1174752529, 51.4507840714)"
RWG149079,2017-09-25,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG149079_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149079_2.jpg,"c(-0.0409325013, 51.5684053767)"
RWG149080,2017-09-25,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG149080_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149080_2.jpg,"c(-0.0406649126, 51.5685709004)"
RWG149082,2017-09-26,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG149082_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149082_2.jpg,"c(-0.0871953522, 51.6159089717)"
RWG149077,2017-09-21,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG149077_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149077_2.jpg,"c(-0.0958399744, 51.6162607355)"
RWG149078,2017-09-21,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG149078_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149078_2.jpg,"c(-0.0959310055, 51.6165187078)"
RWG149081,2017-09-26,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG149081_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149081_2.jpg,"c(-0.0862813575, 51.6159400873)"
RWG149085,2017-10-04,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG149085_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149085_2.jpg,"c(-0.0583678924, 51.5731674492)"
RWG276287,2018-03-13,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG276287_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276287_2.jpg,"c(-0.0292153501, 51.6029928212)"
RWG149083,2017-09-26,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG149083_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149083_2.jpg,"c(-0.0869248973, 51.6168451079)"
RWG149084,2017-09-26,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG149084_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG149084_2.jpg,"c(-0.0859082817, 51.6166580258)"
RWG277934,2018-03-14,1,0,Richmond upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG277934_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG277934_2.jpg,"c(-0.3021843455, 51.4526961237)"
RWG277935,2018-03-14,1,0,Richmond upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG277935_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG277935_2.jpg,"c(-0.3017656344, 51.4519916759)"
RWG171850,2017-11-08,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG171850_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG171850_2.jpg,"c(0.0329871016, 51.516843395)"
RWG276725,2018-03-14,1,0,Bexley,https://cycleassetimages.data.tfl.gov.uk/RWG276725_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276725_2.jpg,"c(0.1357293383, 51.4830043322)"
RWG276853,2018-03-14,1,0,Bexley,https://cycleassetimages.data.tfl.gov.uk/RWG276853_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276853_2.jpg,"c(0.1281483637, 51.4915877852)"
RWG276726,2018-03-14,1,0,Bexley,https://cycleassetimages.data.tfl.gov.uk/RWG276726_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276726_2.jpg,"c(0.1280967953, 51.4899651322)"
RWG171852,2017-11-17,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG171852_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG171852_2.jpg,"c(0.1117902497, 51.5014092947)"
RWG171853,2017-11-17,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG171853_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG171853_2.jpg,"c(0.1116815587, 51.5012536926)"
RWG244292,2018-02-19,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG244292_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG244292_2.jpg,"c(0.0997612186, 51.4781158467)"
RWG244293,2018-02-19,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG244293_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG244293_2.jpg,"c(0.0904763129, 51.5023872765)"
RWG171851,2017-11-13,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG171851_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG171851_2.jpg,"c(0.0705563613, 51.4696949365)"
RWG289783,2018-03-23,1,0,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG289783_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG289783_2.jpg,"c(0.1792143169, 51.5464802464)"
RWG289784,2018-03-23,1,0,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG289784_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG289784_2.jpg,"c(0.179305415, 51.5462685751)"
RWG157327,2017-10-27,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157327_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157327_2.jpg,"c(-0.020496996, 51.5376200494)"
RWG157328,2017-10-27,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157328_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157328_2.jpg,"c(-0.0170236097, 51.5370873124)"
RWG157329,2017-10-27,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157329_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157329_2.jpg,"c(-0.017180717, 51.5371207673)"
RWG157330,2017-10-29,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157330_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157330_2.jpg,"c(-0.0118556661, 51.540773542)"
RWG157333,2017-10-29,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157333_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157333_2.jpg,"c(-0.0095010267, 51.5395652363)"
RWG157331,2017-10-29,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157331_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157331_2.jpg,"c(-0.0116941536, 51.5404595129)"
RWG157332,2017-10-29,1,0,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG157332_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG157332_2.jpg,"c(-0.0097724377, 51.5394326078)"
RWG198027,2017-11-14,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG198027_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG198027_2.jpg,"c(0.0411714316, 51.4420938466)"
RWG276881,2018-02-26,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG276881_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276881_2.jpg,"c(-0.0241672942, 51.4829697448)"
RWG289785,2018-03-28,1,0,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG289785_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG289785_2.jpg,"c(0.0344212443, 51.602966052)"
RWG289786,2018-03-28,1,0,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG289786_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG289786_2.jpg,"c(0.0343510457, 51.6028126271)"
RWG276882,2018-02-26,1,0,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG276882_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276882_2.jpg,"c(-0.0317390772, 51.488179294)"
RWG198028,2017-11-21,1,0,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG198028_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG198028_2.jpg,"c(-0.030176523, 51.4776545652)"
RWG198030,2017-11-22,1,0,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG198030_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG198030_2.jpg,"c(-0.0239613308, 51.4799667861)"
RWG290581,2018-03-20,1,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG290581_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290581_2.jpg,"c(-0.1340748211, 51.3131992227)"
RWG290584,2018-04-04,1,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG290584_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290584_2.jpg,"c(-0.1366304483, 51.3130458627)"
RWG290580,2018-03-20,1,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG290580_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290580_2.jpg,"c(-0.1277219554, 51.3163722431)"
RWG290586,2018-04-04,1,0,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG290586_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290586_2.jpg,"c(-0.1387889121, 51.3111269646)"
RWG276884,2018-03-09,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG276884_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276884_2.jpg,"c(-0.0054638531, 51.4748835403)"
RWG276883,2018-03-09,1,0,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG276883_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276883_2.jpg,"c(-0.0054474426, 51.4748888602)"
RWG291878,2018-04-25,1,0,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG291878_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG291878_2.jpg,"c(-0.0281850121, 51.4335455938)"
RWG291877,2018-04-25,1,0,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG291877_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG291877_2.jpg,"c(-0.0642828999, 51.4411366342)"
