Borough,2015 Male cycles,2015 Female cycles,2015 Unknown cycles,2015 Total cycles,2016 Male cycles,2016 Female cycles,2016 Unknown cycles,2016 Total cycles,2017 Male cycles,2017 Female cycles,2017 Unknown cycles,2017 Total cycles,2018 Male cycles,2018 Female cycles,2018 Unknown cycles,2018 Total cycles,2019 Male cycles,2019 Female cycles,2019 Unknown cycles,2019 Total cycles,2020 Male cycles,2020 Female cycles,2020 Unknown cycles,2020 Total cycles,2021 Male cycles,2021 Female cycles,2021 Unknown cycles,2021 Total cycles
Barking & Dagenham,1177,139,34,1350,1073,196,10,1279,1025,135,26,1186,1220,143,5,1368,939,142,30,1111,1066,139,4,1209,1269,168,0,1437
Barnet,2126,262,18,2406,2310,298,29,2637,2255,351,27,2633,2270,275,1,2546,2369,336,68,2773,1049,62,0,1111,2930,854,3,3787
Bexley,987,88,32,1107,993,55,19,1067,1032,100,36,1168,1002,88,4,1094,954,92,10,1056,864,74,31,969,979,59,0,1038
Brent,3183,484,38,3705,3169,467,13,3649,3577,517,13,4107,3633,381,3,4017,3112,393,48,3553,2988,346,7,3341,3929,860,16,4805
Bromley,2347,267,40,2654,2136,153,16,2305,2566,289,15,2870,2492,271,28,2791,2402,213,35,2650,1416,128,106,1650,3087,351,1,3439
Croydon,2319,187,35,2541,2498,159,16,2673,2613,251,10,2874,2613,202,9,2824,2508,202,8,2718,1922,163,69,2154,2701,282,19,3002
Ealing,5767,1264,125,7156,5444,1256,61,6761,5306,1256,48,6610,6257,1328,37,7622,5757,1637,61,7455,6123,950,211,7284,6401,2028,33,8462
Enfield,1496,347,0,1843,1339,247,2,1588,1686,278,7,1971,1568,252,9,1829,1342,212,7,1561,984,149,3,1136,1296,339,1,1636
Greenwich,2430,247,54,2731,2482,288,46,2816,2762,528,86,3376,2840,412,25,3277,2698,363,11,3072,1212,128,46,1386,3316,542,30,3888
Haringey,3533,354,41,3928,3484,377,23,3884,3222,672,23,3917,3506,496,22,4024,3283,417,43,3743,3338,269,11,3618,4693,930,1,5624
Harrow,756,190,6,952,641,143,1,785,668,153,16,837,942,129,9,1080,661,125,11,797,1056,111,21,1188,651,209,15,875
Havering,1418,136,22,1576,1408,94,8,1510,1667,158,15,1840,1500,135,5,1640,1189,147,8,1344,970,87,6,1063,1168,162,15,1345
Hillingdon,3439,432,69,3940,3224,447,19,3690,3234,531,13,3778,3805,469,105,4379,3012,444,33,3489,2060,191,127,2378,3448,616,25,4089
Hounslow,5823,937,76,6836,5502,608,33,6143,6073,1282,15,7370,5985,1157,41,7183,5210,1165,58,6433,5759,1123,29,6911,5796,1353,2,7151
Kingston upon Thames,4359,803,123,5285,4594,779,30,5403,5198,1145,9,6352,5560,1164,22,6746,4730,1060,92,5882,4397,683,117,5197,5082,809,31,5922
Lambeth,149,27,0,176,178,41,0,219,182,53,0,235,174,45,1,220,152,33,0,185,,,,,237,26,0,263
Lewisham,3760,677,101,4538,3673,584,86,4343,3922,668,73,4663,4442,618,7,5067,4204,572,20,4796,3434,694,197,4325,4420,622,11,5053
Merton,4185,950,42,5177,3975,981,10,4966,3813,864,24,4701,5101,735,37,5873,3723,495,76,4294,4343,797,127,5267,4890,680,34,5604
Newham,4325,811,52,5188,4448,728,23,5199,5158,994,21,6173,5604,1017,22,6643,5121,956,67,6144,5505,671,58,6234,7211,1056,6,8273
Redbridge,1601,169,63,1833,1441,127,2,1570,1562,207,10,1779,1667,210,31,1908,1225,193,8,1426,1605,185,10,1800,2532,342,2,2876
Richmond upon Thames,8809,1926,169,10904,8916,2327,42,11285,8478,2818,55,11351,9042,2936,127,12105,8158,2510,62,10730,8919,1584,14,10517,9303,2549,21,11873
Sutton,2047,390,9,2446,2172,367,3,2542,2267,410,9,2686,2566,322,8,2896,2065,291,61,2417,1564,128,100,1792,2597,359,14,2970
Waltham Forest,3325,579,8,3912,3203,709,8,3920,3322,713,5,4040,3832,912,11,4755,3468,949,4,4421,3388,987,19,4394,4199,1360,3,5562
Wandsworth,33,11,0,44,42,18,1,61,60,11,0,71,72,7,0,79,46,21,0,67,,,,,79,14,0,93