BOROUGH,Area
Camden,Inner
City of London,Inner
Hackney,Inner
Hammersmith & Fulham,Inner
Haringey,Inner
Islington,Inner
Kensington & Chelsea,Inner
Lambeth,Inner
Lewisham,Inner
Newham,Inner
Southwark,Inner
Tower Hamlets,Inner
Wandsworth,Inner
Westminster,Inner
Barking & Dagenham,Outer
Barnet,Outer
Bexley,Outer
Brent,Outer
Bromley,Outer
Croydon,Outer
Ealing,Outer
Enfield,Outer
Greenwich,Outer
Harrow,Outer
Havering,Outer
Hillingdon,Outer
Hounslow,Outer
Kingston upon Thames,Outer
Merton,Outer
Redbridge,Outer
Richmond upon Thames,Outer
Sutton,Outer
Waltham Forest,Outer